sample_index,ecg_value
0,603
1,619
2,564
3,405
4,236
5,107
6,25
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,46
38,191
39,365
40,515
41,620
42,596
43,616
44,595
45,607
46,620
47,604
48,613
49,593
50,605
51,617
52,593
53,605
54,613
55,593
56,596
57,611
58,617
59,599
60,608
61,620
62,594
63,599
64,611
65,594
66,600
67,612
68,617
69,598
70,600
71,617
72,624
73,602
74,610
75,603
76,597
77,601
78,608
79,617
80,599
81,603
82,610
83,623
84,617
85,601
86,607
87,619
88,593
89,605
90,610
91,619
92,599
93,608
94,617
95,596
96,600
97,610
98,610
99,593
100,599
101,608
102,613
103,593
104,553
105,392
106,227
107,101
108,21
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,52
140,204
141,382
142,531
143,591
144,605
145,594
146,605
147,619
148,603
149,619
150,598
151,613
152,623
153,602
154,604
155,593
156,598
157,611
158,619
159,599
160,607
161,614
162,596
163,606
164,616
165,597
166,602
167,613
168,620
169,598
170,605
171,617
172,596
173,605
174,614
175,597
176,604
177,616
178,594
179,604
180,610
181,594
182,599
183,615
184,621
185,601
186,609
187,593
188,598
189,611
190,608
191,603
192,608
193,618
194,597
195,610
196,616
197,598
198,603
199,619
200,594
201,606
202,615
203,594
204,599
205,611
206,483
207,311
208,162
209,58
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,113
242,289
243,461
244,586
245,617
246,598
247,614
248,595
249,602
250,615
251,596
252,604
253,618
254,595
255,608
256,611
257,595
258,602
259,610
260,617
261,595
262,603
263,614
264,594
265,605
266,612
267,622
268,596
269,606
270,611
271,599
272,606
273,619
274,599
275,610
276,616
277,620
278,597
279,611
280,620
281,602
282,612
283,622
284,595
285,613
286,621
287,601
288,608
289,618
290,595
291,601
292,616
293,597
294,604
295,616
296,594
297,609
298,611
299,600
300,607
301,621
302,600
303,613
304,605
305,600
306,612
307,593
308,603
309,514
310,344
311,187
312,69
313,3
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,99
345,268
346,441
347,570
348,613
349,602
350,610
351,601
352,611
353,596
354,599
355,620
356,598
357,607
358,623
359,602
360,610
361,619
362,601
363,612
364,615
365,599
366,606
367,619
368,593
369,609
370,616
371,593
372,604
373,616
374,605
375,601
376,616
377,598
378,601
379,615
380,623
381,603
382,606
383,617
384,597
385,611
386,617
387,596
388,602
389,609
390,594
391,605
392,614
393,608
394,597
395,609
396,609
397,594
398,601
399,614
400,617
401,597
402,601
403,606
404,618
405,596
406,600
407,612
408,617
409,597
410,601
411,474
412,299
413,153
414,50
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,75
447,215
448,356
449,470
450,569
451,611
452,599
453,620
454,599
455,616
456,597
457,613
458,616
459,607
460,617
461,596
462,606
463,621
464,597
465,612
466,621
467,604
468,611
469,594
470,600
471,613
472,622
473,603
474,614
475,596
476,601
477,616
478,594
479,607
480,615
481,599
482,608
483,596
484,594
485,608
486,617
487,596
488,602
489,617
490,594
491,602
492,613
493,595
494,600
495,614
496,624
497,603
498,605
499,620
500,595
501,609
502,617
503,599
504,606
505,610
506,623
507,605
508,612
509,594
510,601
511,611
512,614
513,592
514,452
515,281
516,139
517,43
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,9
549,123
550,302
551,470
552,587
553,611
554,619
555,609
556,601
557,601
558,611
559,596
560,602
561,608
562,615
563,600
564,607
565,619
566,593
567,603
568,604
569,619
570,601
571,603
572,609
573,620
574,603
575,597
576,606
577,616
578,619
579,600
580,602
581,612
582,610
583,593
584,597
585,607
586,613
587,594
588,598
589,603
590,616
591,595
592,595
593,611
594,617
595,595
596,598
597,611
598,620
599,593
600,602
601,614
602,618
603,593
604,603
605,612
606,611
607,595
608,603
609,613
610,612
611,595
612,601
613,605
614,613
615,594
616,599
617,550
618,365
619,203
620,83
621,6
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,60
653,223
654,403
